ID,cluster
11800,0
11817,0
11886,0
11899,1
11923,0
11935,0
11936,0
11983,0
12015,1
12016,1
12070,1
12083,1
12101,1
12128,0
12138,0
12195,0
12207,1
12215,0
12243,0
12303,0
12308,0
12316,0
12321,3
12329,1
12360,1
12362,1
12371,0
12389,0
12406,0
12416,0
12454,0
12491,1
12514,0
12583,0
12591,0
12594,1
12615,0
12619,0
12634,1
12697,0
12702,0
12710,1
12730,1
12750,1
12765,1
12777,0
12778,0
12782,0
12814,0
12817,1
12823,1
12837,0
12842,0
12886,0
12905,1
12927,1
12930,0
12931,0
12936,0
12939,0
12955,0
12978,1
12989,0
12999,0
13013,3
13022,0
13025,0
13071,0
13080,1
13102,1
13109,0
13135,1
13142,0
13152,0
13161,0
13173,0
13251,0
13256,0
13271,1
13272,1
13287,0
13299,1
13325,1
13331,0
13334,3
13361,0
13367,0
13401,0
13425,0
13433,1
13440,1
13450,1
13466,0
13473,0
13484,1
13498,0
13510,0
13550,1
13551,0
13593,0
13641,1
13655,0
13680,0
13686,0
13687,0
13695,0
13709,0
13731,1
13734,0
13759,1
13770,0
13786,0
13855,1
13862,1
13879,0
13911,0
13921,0
13930,0
13935,0
13938,0
13952,0
13960,0
14023,0
14054,0
14059,0
14088,0
14153,0
14168,0
14170,0
14177,0
14201,0
14202,0
14212,1
14215,0
14237,0
14279,3
14282,0
14301,0
14323,0
14324,0
14341,0
14351,2
14352,0
14383,0
14384,0
14408,0
14437,0
14440,0
14445,0
14449,0
14457,1
14471,0
14474,3
14479,0
14482,0
14492,0
14498,0
14611,0
14618,0
14645,1
14665,0
14706,1
14708,0
14719,1
14734,1
14740,0
14743,0
14748,0
14751,1
14796,0
14798,0
14853,0
14880,1
14915,1
14917,1
14940,1
14948,0
14951,0
14955,0
14969,0
14970,1
14996,0
15001,0
15015,0
15027,0
15052,0
15071,0
15127,0
15145,0
15154,0
15159,1
15162,0
15202,0
15227,0
15233,0
15251,1
15253,0
15263,1
15299,0
15357,0
15366,1
15405,1
15409,3
